Name,Gender,Frequency
लक्ष्मी,0,80438
कमला,0,67245
राम बहादुर,1,58770
सिता,0,50964
राज कुमार,1,46502
निर्मला,0,45636
धन बहादुर,1,45160
पार्वती,0,44904
अनिता,0,41711
मिना,0,41504
कल्पना,0,40400
सरस्वती,0,39798
सरिता,0,39397
रमेश,1,38354
प्रकाश,1,37529
प्रेम बहादुर,1,37237
मान बहादुर,1,36695
लाल बहादुर,1,35921
कृष्ण बहादुर,1,35216
सन्तोष,1,33094
गिता,0,31808
टेक बहादुर,1,31686
भिम बहादुर,1,31383
विमला,0,30720
चन्द्र बहादुर,1,30717
सीता,0,27826
दिनेश,1,27542
नर बहादुर,1,27440
सुमित्रा,0,27310
राम प्रसाद,1,26846
अर्जुन,1,26677
पवित्रा,0,26540
पदम बहादुर,1,25727
रिता,0,24553
संगिता,0,24488
माया,0,24335
गणेश,1,23839
सुमन,1,23518
सुनिल,1,23513
मन कुमारी,0,23320
मनोज,1,22562
राधिका,0,22325
शान्ती,0,22181
उर्मिला,0,22031
गंगा,0,21967
विनोद,1,21697
धन माया,0,21669
विष्णु माया,0,21630
सुरेश,1,21629
राजेन्द्र,1,21594
कुमारी,0,21572
कविता,0,21334
गोपाल,1,20942
धन कुमारी,0,20930
मन माया,0,20822
लक्ष्मण,1,20637
शोभा,0,20622
अमृता,0,20447
कमल,1,20280
तारा,0,20237
दुर्गा,0,20195
अनिल,1,20150
गीता,0,19993
मिना कुमारी,0,19912
प्रमिला,0,19877
कृष्ण प्रसाद,1,19730
दिल बहादुर,1,19654
गोमा,0,19538
शेर बहादुर,1,19440
राम कुमारी,0,19331
बल बहादुर,1,19155
सुरज,1,19042
नारायण,1,18592
सविता,0,18551
कुमार,1,18315
विजय,1,18262
जमुना,0,18219
सावित्री,0,18056
सुजन,1,17877
सागर,1,17870
कृष्ण,1,17629
कर्ण बहादुर,1,17436
सम्झना,0,17390
पुजा,0,17333
भगवती,0,17227
गणेश बहादुर,1,17103
शारदा,0,17085
दिल कुमारी,0,16894
मनिषा,0,16888
मन बहादुर,1,16875
रुपा,0,16845
सिता देवी,0,16700
लोक बहादुर,1,16665
प्रदिप,1,16617
दिपा,0,16567
राधा,0,16557
सरोज,1,16405
जानकी,0,16364
उमेश,1,16215
मनोज कुमार,1,16150
फुल माया,0,16045
तेज बहादुर,1,15709
भक्त बहादुर,1,15627
मन्जु,0,15612
हर्क बहादुर,1,15595
रोशन,1,15470
तारा देवी,0,15469
इन्द्र बहादुर,1,15395
नविन,1,15298
दिपेन्द्र,1,15212
सुरेन्द्र,1,15169
शान्ता,0,15088
ललिता,0,15080
राज कुमारी,0,14746
राजन,1,14741
विशाल,1,14729
सपना,0,14595
सविना,0,14304
नवराज,1,14189
सृजना,0,14023
कृष्ण कुमारी,0,13998
कुल बहादुर,1,13955
शंकर,1,13818
ज्ञान बहादुर,1,13721
लक्ष्मी कुमारी,0,13669
गोविन्द,1,13668
बिमला,0,13578
दिल माया,0,13545
पुष्पा,0,13517
सर्मिला,0,13494
दुर्गा देवी,0,13386
मिन बहादुर,1,13374
शर्मिला,0,13361
अशोक,1,13295
महेश,1,13245
मुना,0,13176
मोहन,1,13156
देवी,0,13069
पुनम,0,13025
रेखा,0,12976
चन्द्र कुमारी,0,12743
उषा,0,12692
फुल कुमारी,0,12618
लिला,0,12582
आशा,0,12526
मिलन,1,12525
गंगा देवी,0,12484
प्रेम कुमारी,0,12346
कान्छी,0,12252
पूर्ण बहादुर,1,12232
संगीता,0,12223
सुस्मिता,0,12047
महेन्द्र,1,12044
राम चन्द्र,1,12027
सिता कुमारी,0,12012
सोम बहादुर,1,12009
विक्रम,1,12005
संजय,1,11873
विजय कुमार,1,11849
भरत,1,11840
सिर्जना,0,11715
विष्णु प्रसाद,1,11690
