SMILES,SENTENCE
C/C=C/C(=O)C1CCC(C=C1C)(C)C,48
COC(=O)OC,47
Cc1cc2c([nH]1)cccc2,86
C1CCCCCCCC(=O)CCCCCCC1,83
CC(CC(=O)OC1CC2C(C1(C)CC2)(C)C)C,34
CCC[C@H](CCO)SC,100
CC(C)C(=O)OCc1ccco1,48
OC[C@H]1[C@H]2CC[C@H]3[C@@]1(C)CCCC([C@@H]23)(C)C,108
CCc1ccc(cc1)CC(C=O)(C)C,29
CC(C)[C@@H]1CC[C@@](C)([C@H]2CCC(=C[C@@H]12)C)O,55
O=C[C@@H]([C@H]([C@@H]([C@H](OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,74
CC(C)Cc1ccnc2ccccc12,61
CCCCC(COC(=O)/C=C/c1ccc(cc1)OC)CC,11
OC1CCCc2c1cccc2,75
O=C1CCC2C(O1)CCCC2,48
CC1(C)C2CCC3(CO3)C1C2,89
CC(=CC/C=C(\C)/CCOC(=O)CC(C)C)C,67
C=C(C)[C@H]1CC=C(C)[C@@H](C1)O,71
C/C=C/c1cc(c(c(c1)OC)O)OC,96
CC(C)C(=O)C,21
CC(C)c1ccc(C=CC=O)cc1,94
CCc1c(CC)nccn1,73
CC1COC(C)(c2ccc3c(c2)C(C)(C)CCC3(C)C)O1,39
CC(=CCC/C(=C/CCC(C)C=O)/C)C,1
c1ccc(cc1)CCS,81
O=N(=O)c1c(C)c(C(=O)C)c(c(c1C(C)(C)C)N(=O)=O)C,39
CC(C(C)O)O,48
CCCCC(CCC)O,75
CC(OP(=O)(OC(C)C)OC(C)C)C,108
CCCCCCCC(C)O,24
CC(=O)CC(C)(C)C1CCCCC1,46
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,108
CCCCCCC[C@H]1CCC(=O)O1,43
CCSCC,42
CC(C)CC/C=C/C(=O)C,48
O=CC(c1ccccc1)(CC=C(C)C)C,94
CCCCC1C(C=CC=O)O1,68
C/C=C/C(=O)C,47
C/C(=C\COC(=O)CC(=O)C)/CCC=C(C)C,48
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,75
CC(C)c1cccc(c(=O)c1)O,80
c1cc2c(cc1CO)OCO2,101
CCCc1cccc(c1)O,66
O=CCc1cccc(c1)C(C)C,86
CCOC(OCCC(CCC=C(C)C)C)C,47
C1CCC(CC1)O,21
COc1ccc(cc1)C=CC(=O)C(C)C,96
CCOC(=O)/C=C/c1ccco1,96
CC/C=C/CC(=O)C=C,40
CC1=C(C)C(=C(O)CCCCCCCC1)C,23
COc1cc(C=O)ccc1OC,101
CC/C=C\CCCCC=O,54
C/C=C\C(C)C,48
CC(=C)C1CC=C(C(C1)O)C,47
C/C=C/C(=O)OC(C1CCCCC1)C,82
CCC1OCC2(CO1)CCC=CC2,108
OCc1ccc(cc1)OC,96
Cc1ccco1,42
COC(OCCC(CCC=C(C)C)C)C,89
CCC(C)CCC(=O)O,93
COc1cc(C=O)cc(c1OC)OC,96
CC1=CC=CC(C)(C)C21CC(=O)C(C)O2,108
CC(=O)C=Cc1c(C)ccc(c1C)C,89
CC(C)C1SC(C(C)C)SS1,65
CCc1occc(=O)c1O,13
CC(C)CCSSCCC(C)C,96
CCCCCC1OCC(O1)C,47
CCC(CC(=NO)CC)C,62
CC(C)COC(=O)C(C)O,22
CCC=CC=CCO,24
CC(C(=O)[O-])O.[Na+],74
CC(C)CCOC(=O)CC(=O)C,42
C=CCc1ccc(c(c1)OC)OC1CCCCO1,30
CC(=O)OC1=CCCCCCC1,53
CC(C)C(=O)OC1CCCCC1,48
CC1CCOC(=O)C1,48
CCCCCCCC/C=C\CC=O,43
CCCCc1c(C)nc(C)cn1,96
CCC(CC(CCC=C(C)C)C)O,47
O=COC1CCC(CC1)C(C)(C)C,108
CC(=O)O[C@@H]1C[C@@H](CC=C1C)C(=C)C,69
CC=CCC(=O)OCCCC,10
Cc1cccc2c1cccc2,21
COc1nccnc1C(C)C,102
CCCCCC(=Cc1ccccc1)C(OCC)OCC,42
CCC1C(=O)C(=C(C)O1)O,22
CCOC(C(=O)C)(OCC)C,47
CC/C=C/CC(=O)OC,57
OCC/C=C/C/C=C\CC,43
O=C(c1ccccc1)OCc1ccco1,86
CCCCc1nc(C)cnc1C.CCCCc1ncc(nc1C)C,88
Cc1ccc(c(C)c1)OC,94
CCCC=CCO,48
CC/C=C\CCOC(C)OCC,103
C/C=C(\C)/C(=O)C,16
CCCCCCCCCCCC(=O)Oc1ccc(cc1)C,86
CC=C(C)C1CCC(C)(C)O1,96
C/C=C/C(=O)C1C(=C)CCCC1(C)C,82
CC(=CCCC(=CCCC(C)CCO)C)C,46
CC/C=C\CCOC(OCC/C=C\CC)C,54
CC(OCCc1ccccc1)OCCc1ccccc1,89
CC1=C(C)C2(C)CCC1(C)C(C)(C)C2(C)O,71
CCOC(=O)C(C)C1CCCCC1,78
CCCCCCC1OCC(C)O1,54
CCCCC(=O)C(CCC)S,60
C=CCCCCCCCC(=O)C,28
CC(C)C(C(=O)C)S,14
CC(C=C)CO,47
CCCC(OC(=O)CCC)C,10
CC1C=C(C)CC(C1)C#N,54
C/C=C/C(=O)OC(CC(C)C)C,96
c1ccc(cc1)C(C(=O)c1ccccc1)O,11
CC(=CCCC(=CCCC(=O)C)C)C,47
CC1=CCOC(C1)c1ccccc1,49
