SMILES,SENTENCE
C/C=C/C(=O)C1CCC(C=C1C)(C)C,"fruity,rose"
COC(=O)OC,"fresh,ethereal,fruity"
Cc1cc2c([nH]1)cccc2,"resinous,animalic"
C1CCCCCCCC(=O)CCCCCCC1,"powdery,musk,animalic"
CC(CC(=O)OC1CC2C(C1(C)CC2)(C)C)C,"coniferous,camphor,fruity"
CCC[C@H](CCO)SC,tropicalfruit
CC(C)C(=O)OCc1ccco1,"fruity,coffee"
OC[C@H]1[C@H]2CC[C@H]3[C@@]1(C)CCCC([C@@H]23)(C)C,woody
CCc1ccc(cc1)CC(C=O)(C)C,"clean,fresh"
CC(C)[C@@H]1CC[C@@](C)([C@H]2CCC(=C[C@@H]12)C)O,"herbal,spicy,honey"
O=C[C@@H]([C@H]([C@@H]([C@H](OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,odorless
CC(C)Cc1ccnc2ccccc12,"leather,animalic,herbal,green"
CCCCC(COC(=O)/C=C/c1ccc(cc1)OC)CC,balsamic
OC1CCCc2c1cccc2,"oily,woody,earthy,camphor"
O=C1CCC2C(O1)CCCC2,"fruity,vanilla,coconut,sharp"
CC1(C)C2CCC3(CO3)C1C2,"rose,herbal,camphor"
CC(=CC/C=C(\C)/CCOC(=O)CC(C)C)C,"melon,green,oily,herbal"
C=C(C)[C@H]1CC=C(C)[C@@H](C1)O,"musk,chemical,mint"
C/C=C/c1cc(c(c(c1)OC)O)OC,"sweet,spicy"
CC(C)C(=O)C,camphor
CC(C)c1ccc(C=CC=O)cc1,"spicy,ambery"
CCc1c(CC)nccn1,"nut,green,pepper"
CC1COC(C)(c2ccc3c(c2)C(C)(C)CCC3(C)C)O1,"dry,ambery,powdery,musk"
CC(=CCC/C(=C/CCC(C)C=O)/C)C,"aldehydic,lily,waxy,watery,hyacinth"
c1ccc(cc1)CCS,"plastic,sulfuric"
O=N(=O)c1c(C)c(C(=O)C)c(c(c1C(C)(C)C)N(=O)=O)C,"dry,powdery,musk,floral,fruity"
CC(C(C)O)O,"fruity,butter"
CCCCC(CCC)O,"oily,fruity"
CC(OP(=O)(OC(C)C)OC(C)C)C,"woody,floral,green,citrus"
CCCCCCCC(C)O,"cheese,green,orange"
CC(=O)CC(C)(C)C1CCCCC1,"floral,woody,ethereal,waxy"
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,"woody,earthy"
CCCCCCC[C@H]1CCC(=O)O1,"fatty,sweet,aldehydic"
CCSCC,"ethereal,sulfuric"
CC(C)CC/C=C/C(=O)C,"fruity,floral"
O=CC(c1ccccc1)(CC=C(C)C)C,"spicy,floral,cacao"
CCCCC1C(C=CC=O)O1,metallic
C/C=C/C(=O)C,"fresh,chemical,fruity"
C/C(=C\COC(=O)CC(=O)C)/CCC=C(C)C,"fruity,floral"
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,"oily,fruity"
CC(C)c1cccc(c(=O)c1)O,"phenolic,woody,liquor"
c1cc2c(cc1CO)OCO2,"vanilla,powdery"
CCCc1cccc(c1)O,"medicinal,spicy,phenolic"
O=CCc1cccc(c1)C(C)C,"resinous,floral,grass,fresh"
CCOC(OCCC(CCC=C(C)C)C)C,"fresh,rose,fatty"
C1CCC(CC1)O,camphor
COc1ccc(cc1)C=CC(=O)C(C)C,"sweet,balsamic,berry"
CCOC(=O)/C=C/c1ccco1,"sweet,resinous,fruity,burnt"
CC/C=C/CC(=O)C=C,earthy
CC1=C(C)C(=C(O)CCCCCCCC1)C,"cedar,grapefruit,green,ambergris,ethereal"
COc1cc(C=O)ccc1OC,"vanilla,powdery,almond"
CC/C=C\CCCCC=O,"green,cucumber,melon,woody,violetflower"
C/C=C\C(C)C,"fruity,green"
CC(=C)C1CC=C(C(C1)O)C,"fresh,mint,musk"
C/C=C/C(=O)OC(C1CCCCC1)C,"plum,powdery,grape,liquor"
CCC1OCC2(CO1)CCC=CC2,"woody,floral,balsamic"
OCc1ccc(cc1)OC,"sweet,resinous,fruity"
Cc1ccco1,"ethereal,cacao"
COC(OCCC(CCC=C(C)C)C)C,"rose,citrus,fatty"
CCC(C)CCC(=O)O,"sour,cheese"
COc1cc(C=O)cc(c1OC)OC,"sweet,cinnamon"
CC1=CC=CC(C)(C)C21CC(=O)C(C)O2,"woody,floral"
CC(=O)C=Cc1c(C)ccc(c1C)C,"rose,fruity"
CC(C)C1SC(C(C)C)SS1,meat
CCc1occc(=O)c1O,"berry,resinous,burnt,clean,syrup"
CC(C)CCSSCCC(C)C,"sweet,alliaceous"
CCCCCC1OCC(O1)C,"fresh,herbal,fruity"
CCC(CC(=NO)CC)C,"lemon,herbal,leaf"
CC(C)COC(=O)C(C)O,"caramellic,fruity"
CCC=CC=CCO,"cheese,almond"
CC(C(=O)[O-])O.[Na+],odorless
CC(C)CCOC(=O)CC(=O)C,"ethereal,sweet,wine,green,fermented"
C=CCc1ccc(c(c1)OC)OC1CCCCO1,clove
CC(=O)OC1=CCCCCCC1,"grass,fresh,cinnamon,banana,vegetable,earthy"
CC(C)C(=O)OC1CCCCC1,fruity
CC1CCOC(=O)C1,"fruity,butter"
CCCCCCCC/C=C\CC=O,"fatty,woody,pepper,leaf,orange"
CCCCc1c(C)nc(C)cn1,"sweet,earthy"
CCC(CC(CCC=C(C)C)C)O,"fresh,rose,fatty"
O=COC1CCC(CC1)C(C)(C)C,"woody,floral"
CC(=O)O[C@@H]1C[C@@H](CC=C1C)C(=C)C,"mint,fruity"
CC=CCC(=O)OCCCC,"apple,herbal"
Cc1cccc2c1cccc2,camphor
COc1nccnc1C(C)C,vegetable
CCCCCC(=Cc1ccccc1)C(OCC)OCC,"ethereal,jasmin,aldehydic,fruity"
CCC1C(=O)C(=C(C)O1)O,caramellic
CCOC(C(=O)C)(OCC)C,"fresh,butter,burnt,fruity"
CC/C=C/CC(=O)OC,"hyacinth,green,honey,tropicalfruit"
OCC/C=C/C/C=C\CC,"fatty,vegetable,melon,floral"
O=C(c1ccccc1)OCc1ccco1,"resinous,fruity"
CCCCc1nc(C)cnc1C.CCCCc1ncc(nc1C)C,"roasted,vegetable"
Cc1ccc(c(C)c1)OC,"spicy,herbal"
CCCC=CCO,"fruity,leaf"
CC/C=C\CCOC(C)OCC,"violetflower,leaf,mushroom"
C/C=C(\C)/C(=O)C,body
CCCCCCCCCCCC(=O)Oc1ccc(cc1)C,"resinous,fatty"
CC=C(C)C1CCC(C)(C)O1,"sweet,citrus,mint,green,earthy,spicy,woody"
C/C=C/C(=O)C1C(=C)CCCC1(C)C,"plum,rose,apple,cooked,mint,tobacco"
CC(=CCCC(=CCCC(C)CCO)C)C,"floral,green,fruity"
CC/C=C\CCOC(OCC/C=C\CC)C,"green,herbal"
CC(OCCc1ccccc1)OCCc1ccccc1,"rose,herbal"
CC1=C(C)C2(C)CCC1(C)C(C)(C)C2(C)O,"musk,earthy,camphor,alcoholic"
CCOC(=O)C(C)C1CCCCC1,"pear,green"
CCCCCCC1OCC(C)O1,"green,fatty"
CCCCC(=O)C(CCC)S,"leaf,grapefruit,mint"
C=CCCCCCCCC(=O)C,"citrus,fatty"
CC(C)C(C(=O)C)S,blackcurrant
CC(C=C)CO,"fresh,fermented,fruity,green"
CCCC(OC(=O)CCC)C,"apple,banana,fermented"
CC1C=C(C)CC(C1)C#N,"green,grass,tobacco"
C/C=C/C(=O)OC(CC(C)C)C,"sweet,apple,plum,pear,grape"
c1ccc(cc1)C(C(=O)c1ccccc1)O,"balsamic,vanilla,camphor"
CC(=CCCC(=CCCC(=O)C)C)C,"fresh,rose,leaf,sweet,floral,aldehydic,fruity"
CC1=CCOC(C1)c1ccccc1,"geranium,metallic"
COC(=O)C1(C)CCCC2(C1CC=C1C2CCC(C1)C(C)C)C,odorless
CCCc1c(C)nccn1,nut
CC(=O)C1CCCCC1,"fresh,fruity,herbal,burnt,roasted"
OCc1ccccc1,"ethereal,sweet,floral"
O=c1cc[nH]cc1,"animalic,seafood,smoky,nut"
CCC(C(=O)OCc1ccccc1)C,"resinous,tropicalfruit"
CC1CCOC2(CCCCC2)O1,"camphor,woody"
CC(=O)OC(C)(C)Cc1ccccc1,"jasmin,pear,berry,powdery"
CCCCCC(C)C(=O)O,"cheese,green,body"
CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,odorless
C1CCCCCCCOC(=O)/C=C/CCCC1,"sweet,musk,waxy"
O=CCC(c1cccc(c1)C(C)C)C,"fresh,lily"
CSCCCOC(=O)CS,"spicy,nut,meat,dairy,vegetable"
CCOC(=O)C(C)S,"alliaceous,meat,green"
OCCCCCCCCC=C,"fresh,rose,waxy"
C=CCC1(C(C)(C)CCCCC1(C)C)O,"musk,earthy,camphor,earthy"
C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,"grapefruit,orange,oily,woody"
CCCCOC(=O)C(C)CC,"green,fruity,cacao"
CCCC(CC=O)S,"sharp,alliaceous"
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,"sweet,balsamic,resinous,herbal"
CC(=Cc1ccccc1)C=O,"blackcurrant,cinnamon"
CCSCCCO,"sulfuric,vegetable,earthy"
COCCOc1ccc(cc1)C,"herbal,green,floral"
Cc1cc(C(=O)C)c(C)s1,"burnt,roasted,meat"
CC(OC(=O)C)CCC1C(C)CCCC1(C)C,"woody,fruity,floral"
C=CCc1cc(c(c(c1)OC)OC)OC,"spicy,floral"
COc1ccc(cc1)COC(=O)C(C)C,"sweet,spicy,fruity"
CCOc1ccc(cc1OC)/C=C/C,"sweet,spicy"
CC1CCc2c(C1)occ2C.CC1CCC(C(C1)OC(=O)C)C(C)C.CC1CCC(=C(C)C)C(=O)C1.CC1CCC(C(=O)C1)C(C)C.CC1CCC(C(C1)O)C(C)C.CC1CCC2(CC1)OCC2C,cooling
CCCC1OCCC(C)S1,"alliaceous,pear,tropicalfruit"
CCCC=CCC1CCCC1=O,"jasmin,fruity"
CCCC=CC(=O)OCC=C,"green,tropicalfruit"
O=C1CCCCCCCCOCCCCCCO1,musk
C=C[C@@](CCC=C(C)C)(O)C,"fresh,floral,woody,woody,pepper"
CC1CC(C)(CO1)c1ccccc1,"green,green,fruity,grapefruit,camphor,woody"
O=CCCCCC/C=C\CC,"citrus,aldehydic"
C=C1CCC(/C(=C\CC2C1CC2(C)C)/C)OC(=O)C,"fresh,sharp,cedar"
CCC(S)SC(CC)S,"alliaceous,fruity,green"
CCCC1CCC(C(C1)OC)O,"herbal,spicy"
CC(=CCc1c(ccc2ccc(=O)oc12)OC)C,"dry,musty,herbal"
C=CC(=C)CC/C=C(/CCC=C(C)C)\C,"citrus,herbal,woody"
CC1(C)COC2(OC1)CCCCC2,"camphor,woody,sweet,leather"
CCCCCCCCCCCCCCCC(=O)OCC(CCCC)CC,odorless
Cc1ccc2c(c1)oc(=O)cc2,"sweet,resinous,fruity,floral"
CCCCC[C@@H](C=C)O,"overripe,grass"
C=C(C)C(CCC(C)CCO)O,rose
CCC1OC(C(O1)C)C,"fresh,ethereal"
CC1C2Cc3ccccc3C2OC(C)O1,"floral,whiteflower,grapefruit,sweet,floral,geranium"
CCCCC/C=C\CCCOC(=O)C,"oily,ester,orange,fruity,sweet,rose,spicy"
OC1CCC2C(C1)CCCC2,"clean,rose"
CCCC[C@H](CC)C(=O)O,"sweet,herbal,musty"
CC(c1ccccc1)CCC(=O)C,"balsamic,fruity"
CC1CCC2(O1)C(=C)C=CCC2(C)C,"woody,pepper"
Cc1ccnc2ccccc12,"burnt,oily,herbal,floral,sweet"
CCCCC(OCCCC)OCCCC,"sweet,nut"
CCC(CCOC(=O)/C(=C/C)/C)C,"herbal,fruity,apple,herbal"
Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O,"musk,chemical,sweet,powdery,fatty"
c1ccc(cc1)C(=O)c1ccc2ccccc2c1,"chemical,orange,floral"
CC(CCC1(C)OCC=CCO1)C,"herbal,tropicalfruit,ambery"
C1CCCCCC=CCCCC1,"syrup,terpenic,woody"
CC(=O)c1cnc(C)o1,nut
CCC(=O)OC1CC(C)CCC1C(C)C,"cooling,fruity"
CC(C)C(=O)OC,"ethereal,fruity,sweet"
CCCSC(=O)C,"alliaceous,vegetable,fresh"
CCC(C)C(=O)OC/C=C(\C)/CCC=C(C)C,"apple,rose"
C[C@@H](CCC=C(C)C)CCOC(=O)C,"fresh,floral,fruity"
CC(=O)CCC(=O)OC,caramellic
CCCC(=O)OCCCSC,"tropicalfruit,mushroom,cheese"
CCCCCCCCCCC(OCC)OCC,"fresh,floral,citrus"
Cc1cc(c(C)o1)SC(=O)c1ccco1,"coffee,meat"
CCOC(=O)CCS,"animalic,grape,rancid"
CCC(=O)OCCC(C)CCC=C(C)C,"floral,green,waxy,citrus"
CC1COC(C)O1,"fruity,grass"
CC1CC(=O)OC1CCCCC,"fruity,whiteflower"
Cc1ccc(c(c1O)C)C,"phenolic,spicy"
Cc1scnc1C,"sulfuric,green,resinous"
CC(CC(=O)Cc1ccccc1)C,"resinous,burnt,fruity"
CCc1nc(C)cnc1CC,"green,cacao,coffee"
CCCC(CCOC(=O)C)SC(=O)C,"alliaceous,metallic,woody,animalic,lactonic,tropicalfruit,vegetable,burnt,plastic"
COC1CC2CC1C1C=CCC21,"melon,green,herbal"
CCCCCCCCSC,"earthy,cooked,nut"
CCCCCCC(C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CC(CCCCCC)O)COC(=O)CCCCCCC/C=C\CC(CCCCCC)O)O,oily
CCCCCCCOCC(=O)CO,"mushroom,green,oily,sweet"
CC(C)(C)O,camphor
CC(C)CCCCCCCCCCOC(/C=C(\C)/CCC=C(C)C)OCCCCCCCCCCC(C)C,"lemon,green,woody"
CC(=O)OCC(=O)C,"fruity,caramellic"
O=CC1CC(=CC(C1C)C)C,"green,herbal,lemon"
C=CC(=C)CC(CC(C)C)O,lemon
CCOC(CCSC)OCC,"pungent,vegetable"
CC1=CCC(CC#N)C1(C)C,"resinous,rose,grass"
C=CC(OC(=O)Cc1ccccc1)(CCC=C(C)C)C,"rose,honey,cacao,green,herbal"
CC/C=C\CCOC(=O)C=C(C)C,"apple,herbal"
CC(C)CCCC(C)CCOC(=O)C,"fresh,waxy,clean,rose,honey,fruity"
CCCCC(=O)Oc1ccccc1,"medicinal,phenolic,fruity"
CC(C)[C@H]1CCC(=C)[C@@H]2CCC(=C[C@H]12)C,"herbal,woody,spicy"
CCOc1cc(ccc1O)C=O,"vanilla,dairy,woody,berry"
CC(C)CC1CC(C)CCO1,"geranium,herbal,metallic"
O[C@@H]1CC[C@@H](CC1)C(C)(C)C,"musk,earthy"
O=C1CCCCCCCCCCOCCCCO1,"musk,woody,fruity"
CC1CCC2(C(C1)C)CCC(=O)CC2,"woody,camphor"
CC1(C)[C@H](C[C@H]2C[C@@]2(C)CO)C[C@H]2C[C@@]12C,"tropicalfruit,woody,fatty,ethereal,floral"
CC1OCCC21SC1C(S2)(C)OCC1,"sulfuric,camphor,woody"
CCCCOC(=O)C(C)OC(=O)CCC,"dairy,body,green"
CCC(=O)OCCC(C)CCCC(=C)C,"geranium,herbal"
CC(CN)O,seafood
C/C(=C\C=C1C(=O)C(CC(C1=O)C(C)(C)C)C(C)(C)C)/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C,"leaf,herbal,fruity"
C=C1C2CC(C[C@@H]1O)C2(C)C,herbal
CCCCC1C2=C(C=CCC2)C(=O)O1,"herbal,earthy"
CCCCC(C(=O)C)C(=O)OCC,wine
CC1=CCC(CC1)C(O)(C)C,"resinous,floral"
Cc1cc(c(o1)C(=O)C)C,"nut,grass,vanilla"
O=C/C=C/c1ccc(cc1)C,"sweet,cinnamon"
CC1(C)SC(C)(C)SC(S1)(C)C,"sulfuric,burnt,meat,green,grapefruit,blackcurrant,cooling,animalic,tropicalfruit"
CC(C)CCOC(=O)Cc1ccccc1,"honey,cacao,rose"
C/C=C/CC/C=C/CCC(=O)OC,"fatty,pear"
CCCCCCCCCCCCCCCC(=O)OCCC(C)C,oily
CCSSSCC,alliaceous
CCC(C)c1cnc(C)c(C)n1,"fresh,burnt,roasted"
COC(=O)c1ccccc1N=Cc1ccccc1,"sweet,almond,cherry,floral"
CCC(=O)c1ccc[nH]1,caramellic
CCCOc1cncc(n1)C,"green,woody,fruity"
CC[C@@H](C)C(=O)OCC,"fruity,green,cognac,phenolic"
CCOC(=O)CC(C)SCC,"metallic,fruity"
CC/C=C/CCO,"leaf,fresh,floral,oily,earthy"
C=C(C)C1CCC(C)CC1OC(=O)C,"woody,tropicalfruit,cooling"
C[C@@H]1CC[C@H](C(=O)C1)C(SC(=O)C)(C)C,"blackcurrant,mint"
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"cheese,sour"
CC1C=Cc2c1nccn2,roasted
CC(C)C1=CCC(=CC1)C,"terpenic,tropicalfruit,lemon"
c1ccc(cc1)CCCc1cccnc1,"green,woody"
CCCC/C=C/C(=O)OCC,"melon,apple"
CC(=O)OC(CCc1ccccc1)(C)C,"fresh,sweet,resinous,floral"
CC(CC(=O)/C=C/C1C(=CCCC1(C)C)C)C,woody
CC(C)C(=O)OCc1ccccc1,"jasmin,oily,tropicalfruit"
OC1C[C@H]2C([C@]1(C)CC2)(C)C.C=CC(CCC=C(C)C)C.C=CCc1ccc(c(c1)OC)OC.OC/C=C(\CCC=C(C)C)/C.O=C/C=C(\CCC=C(C)C)/C,lemon
CCCCCCCCCCCCCCCO,oily
CC(C)CC(Cc1ccccc1)O,"green,floral,herbal,earthy,dairy"
CC12CCCC3(CC1)C2(C)CCC1C3(C)O1,"dry,musk,clean"
CCC(c1nccs1)C,"vegetable,caramellic,sulfuric"
CC1(C)COC2C(C1(C)C)C1CCCCC1CC2,"ambery,dry"
O=C/C=C(\CCC=C(C)C)/C,"fresh,citrus,herbal"
CC1=CCC(CC1)C(C)C=O,"spicy,herbal"
CCCCC/C=C(\C)/C=O,"fruity,green"
CCCCCCC(C(=O)C)CO,"sweet,herbal,floral"
CCn1cccc1C=O,"burnt,smoky"
O=C1C=C2C(C3([C@H]1C[C@@H](O)[C@H](C3)O)C)CCC1(C2(O)CCC1C(=O)C)C,"musk,earthy,balsamic"
C=CCC(C)O,fruity
c1ccc(cc1)C(=Nc1ccccc1C(=O)O)O,fruity
CC(C)CCC(COC(=O)C(C)C)C(C)C,"fruity,floral"
CC1(C)CC(C)(C=O)C2=CCCCC12,"herbal,resinous,clove,blackcurrant,berry"
CCCC(C(=O)CCC)O,"sweet,pungent,nut"
[NH4+].[NH4+].[S-2],"sulfuric,cooked"
CC(C)CC(=O)OC,"sweet,ester,fruity"
C/C(=C\CC1CC=C(C)C1(C)C)/C(C)O,"oily,woody,spicy,powdery"
CC(=C1CC2C(=CC(CC(C)C2C1)OC=O)C)C,"woody,fresh"
O=C1CSCC1,"sulfuric,fruity"
O=C(Cc1ccccc1)OCC1CCCO1,"honey,resinous"
COC1(C)CCCCCCCCCCC1,"woody,tobacco"
CCC(=CCCC(=CC#N)C)C,"lemon,ethereal,metallic"
OCC1CCC=CC1,"oily,herbal,fermented"
CCCCOC(=O)C(O)C,"pungent,ester,fruity,burnt"
Cc1cnc(C)s1,nut
C=CCC(C=C(C=O)CC)CC,"fresh,herbal,aldehydic,fatty"
Cc1ccc2c(c1)CCCN2,"resinous,floral,animalic"
CC(=O)OC(C)(C)C,"fruity,ethereal,chemical"
CC(CCCC(C)C)CCCC(CCCC(=O)C)C,"waxy,jasmin,earthy"
CC(C)C12CC2C(C)C(=O)C1,woody
O=Cc1ccc(c(c1)OC(C)C)O,vanilla
Oc1cccc(c1)O,"phenolic,medicinal,liquor,leather"
CC(=CCC/C(=C/CC/C(=C/COC(=O)C)/C)/C)C,waxy
CCOC(=O)C(CC)C,"apple,plum,oily"
CCC(C)(C)C1CCC(=O)CC1,"dry,violetflower,earthy,camphor"
COC(=O)CC(=O)OC,apple
CC(C1CCC(=O)C=C1)C,"fresh,mint"
CCOc1ccc2c(c1)cccc2,"sweet,resinous,violetflower"
C/C=C/C=C/COC(=O)CCC,"wine,green,cheese"
CC(C)CC1C2CCCC=C2C(=O)O1,"herbal,earthy"
CC1CC(=O)C(=C1C)O,caramellic
CC(C)c1ccc2c(cccn2)c1,"grass,metallic,leaf,phenolic,nut"
CC1CCC2C3(CCC4C(C4(C)C)C13C)O2,"musk,earthy,ambergris"
CC(C)OCCOC(=O)c1ccccc1O,"sweet,floral,balsamic,herbal,cherry"
C/C=C/C=C/C=C/C=C/CCCCCCO,"sweet,woody"
CCCCCCCC1CC=CC(=O)O1,"coconut,fruity,dairy"
OC/C(=C\CCC1(C)C2CCC(C1=C)C2)/C,woody
CC1(C)[C@H]2CC=C(CO)[C@@H]1C2,"resinous,balsamic,sweet,mint,chemical"
O=C1CCC2=C(O1)CCCC2,"fruity,resinous,coconut"
O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,"fresh,camphor,coniferous"
CC(=CCCC(=O)C)CCC=C(C)C,"fruity,sweet,floral,aldehydic,leaf,rose"
CCOC(=O)CCCCSC,sulfuric
